LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
128027,56,85994,50587,520,80,4,15.23,36,0.44,0,0,0,1,1,4,1,0
125442,69,50432,124440,458,15,1,4.81,60,0.68,2,0,1,0,0,4,1,0
85333,46,84208,129188,451,26,3,21.17,24,0.31,2,3,0,1,1,0,0,1
220129,32,31713,44799,743,0,3,7.07,24,0.23,1,0,1,0,0,1,0,0
105746,60,20437,9139,633,8,4,6.51,48,0.73,0,3,0,0,1,0,0,0
72847,25,90298,90448,720,18,2,22.72,24,0.1,1,3,2,1,0,1,1,1
122033,38,111188,177025,429,80,1,19.11,12,0.16,0,3,2,1,0,3,1,0
3425,56,126802,155511,531,67,4,8.15,60,0.43,3,0,1,0,0,3,1,0
12442,36,42053,92357,827,83,1,23.94,48,0.2,0,2,0,1,0,2,0,1
89347,40,132784,228510,480,114,4,9.09,48,0.33,1,2,1,1,0,4,1,0
129360,28,140466,163781,652,94,2,9.08,48,0.23,1,3,1,0,0,2,0,0
242820,28,149227,139759,375,56,3,5.84,36,0.8,3,0,0,0,0,2,1,1
195634,41,23265,63527,829,87,4,9.73,60,0.45,2,0,0,1,0,0,1,0
119876,53,117550,95744,395,112,4,3.58,24,0.73,1,3,2,0,0,0,1,0
234027,57,139699,88143,635,112,4,5.63,48,0.2,2,1,0,0,0,3,0,0
171021,41,74064,230883,432,31,2,5.0,60,0.89,2,3,1,1,0,0,0,0
250874,20,119704,25697,313,49,1,9.63,24,0.28,3,3,2,1,0,3,0,0
69913,39,33015,10889,811,106,2,13.56,60,0.66,2,2,2,1,0,4,0,0
170299,19,40718,78515,319,119,2,14.0,24,0.17,0,2,0,1,0,2,0,1
107584,41,123419,161146,376,65,4,16.96,60,0.39,1,2,2,1,0,4,1,0
51621,61,30142,133714,429,96,1,15.58,12,0.65,3,1,0,0,1,1,0,0
71325,47,146113,100621,419,55,1,9.32,12,0.38,0,3,1,1,1,1,0,0
11597,55,132058,130912,583,48,4,5.82,60,0.47,1,3,1,0,1,1,1,0
155245,19,118989,123300,528,73,3,15.29,36,0.22,3,1,2,1,0,1,1,1
65715,38,56848,168918,468,73,1,19.1,24,0.22,0,3,2,0,0,2,0,0
92360,50,81649,78193,839,110,1,21.41,48,0.5,2,1,1,1,0,1,1,0
85613,29,114651,197648,343,58,3,21.07,24,0.19,0,1,1,1,0,3,1,0
114991,39,17633,167105,514,62,3,7.86,36,0.66,1,0,2,1,1,0,1,1
81797,61,62519,29676,462,16,1,23.91,48,0.12,0,3,0,1,0,3,1,0
244700,42,141412,197764,580,57,2,10.18,12,0.19,0,0,1,0,0,2,0,0
115383,66,39568,58945,604,37,4,6.67,12,0.1,1,3,0,1,1,0,1,0
177665,44,100284,225403,551,31,1,18.77,36,0.17,2,3,0,0,1,1,1,1
144122,59,102292,55337,840,6,1,16.11,60,0.44,2,3,1,1,0,0,0,0
171649,45,85673,48773,787,103,4,22.42,24,0.82,3,0,0,0,0,2,1,0
9612,33,92448,66282,607,39,1,11.31,12,0.43,0,1,0,1,0,3,1,0
179351,32,102178,179279,669,51,2,14.98,12,0.78,2,2,2,1,0,3,1,0
61381,64,102463,218433,506,24,2,9.23,60,0.86,2,3,1,0,0,0,1,0
76584,68,85409,44772,540,105,1,2.96,36,0.17,2,3,0,0,0,0,0,0
29883,61,26470,19818,695,47,2,20.0,36,0.69,3,3,0,1,1,0,1,0
38345,69,87295,16281,707,94,1,13.82,60,0.75,0,1,2,0,0,4,0,0
102271,20,139321,43049,458,117,2,7.16,36,0.53,2,2,2,1,0,3,0,1
197021,54,21487,84115,386,32,2,20.89,60,0.78,3,3,1,1,1,1,1,0
143574,68,111716,215851,747,99,3,18.84,60,0.4,1,3,0,0,1,3,0,0
237161,24,105732,33013,400,58,3,15.64,36,0.48,1,0,1,1,1,0,1,0
20833,38,73117,221628,639,84,4,13.05,36,0.56,0,1,1,0,1,3,1,0
18958,26,125268,67671,795,72,3,11.42,12,0.3,1,2,2,0,0,1,0,0
249776,56,24796,37657,498,88,1,8.2,48,0.73,1,1,1,1,1,0,0,0
196940,35,95963,77552,560,8,2,6.63,24,0.86,2,2,0,1,1,3,0,1
73906,21,16170,66883,505,27,1,4.41,48,0.42,3,2,2,0,1,2,0,0
153033,42,143244,240591,393,96,3,23.15,36,0.16,1,2,1,0,1,1,0,0
1311,31,103515,220032,369,57,2,22.36,24,0.81,3,3,0,0,0,2,1,1
163548,67,100949,145906,439,36,2,3.74,48,0.58,0,3,1,0,0,0,1,0
7714,26,92153,214064,634,33,3,2.34,24,0.32,3,0,1,0,1,2,0,0
100948,43,70113,215064,657,0,2,6.0,24,0.76,0,2,2,0,1,3,1,0
65115,19,24611,41605,417,59,3,15.11,48,0.59,0,3,2,0,1,1,0,0
187671,37,37173,234059,455,20,3,15.12,48,0.74,3,0,1,0,1,4,0,0
5720,45,31137,158128,351,54,3,5.4,24,0.25,0,3,2,0,0,4,1,0
97650,64,49565,245711,655,76,4,23.41,24,0.37,1,3,2,0,1,0,1,0
183458,24,31644,75317,737,66,4,5.65,36,0.51,1,0,0,0,0,1,1,0
6174,61,49113,222046,771,47,3,22.8,12,0.24,1,3,0,0,1,4,0,0
151037,25,85814,227368,669,58,1,19.11,36,0.75,1,3,0,1,0,2,1,1
248954,64,110606,137139,669,11,3,18.01,60,0.66,2,1,1,0,1,3,0,0
246329,52,76136,145318,775,23,3,12.44,24,0.15,3,3,2,0,1,3,0,0
125848,31,82461,222343,680,22,1,15.7,24,0.36,2,3,0,0,0,3,0,0
239047,34,37082,175274,694,67,3,15.59,36,0.38,0,3,2,1,0,1,0,0
1733,53,149401,245626,534,18,1,15.82,60,0.25,0,3,0,0,1,0,0,0
253115,67,77135,159839,529,59,4,4.14,36,0.41,1,0,1,1,1,4,0,0
43235,57,34830,63072,416,93,3,20.34,60,0.45,0,3,1,0,0,3,0,0
254965,21,142860,238718,318,35,3,13.06,48,0.36,1,1,1,0,1,1,1,0
192959,19,20236,165086,411,66,4,11.49,60,0.3,0,2,0,0,1,2,0,0
162809,23,17142,110469,802,56,3,12.23,12,0.71,1,0,1,1,1,0,1,0
19307,59,60000,117371,305,50,2,3.37,36,0.58,1,3,2,1,0,0,1,0
206181,21,142986,142571,674,69,2,19.35,60,0.56,0,2,0,1,1,2,0,0
164908,46,59079,122293,585,36,4,20.25,24,0.15,1,0,0,0,0,0,0,0
166184,35,118725,169932,750,80,4,7.86,48,0.37,1,0,2,1,0,1,0,0
39335,43,130625,17462,303,22,3,17.91,60,0.65,2,2,1,0,1,1,0,0
64756,61,49191,93324,487,51,2,2.65,12,0.25,1,3,1,0,1,3,1,0
210492,51,46887,119386,730,70,1,17.44,60,0.47,3,2,1,0,1,0,0,0
176065,27,23574,10480,579,111,1,3.46,12,0.86,2,2,2,0,1,1,0,0
35835,53,49335,187180,750,39,3,18.31,60,0.58,3,2,1,1,0,3,1,0
29060,31,143837,193310,658,63,2,14.15,60,0.45,0,2,0,1,1,4,1,0
127313,48,99977,27219,683,111,4,3.12,24,0.75,0,3,0,1,1,4,0,0
203449,65,80770,217916,574,9,3,20.97,36,0.49,1,1,2,1,0,3,0,0
189992,32,46238,134941,421,1,1,12.32,24,0.5,1,1,0,0,0,0,0,0
28827,25,24742,219541,719,73,3,15.21,12,0.6,3,2,0,0,0,0,0,1
154904,31,56982,223728,692,44,1,17.93,24,0.72,1,0,0,0,1,3,1,0
222800,40,137937,169513,542,25,2,14.38,12,0.57,1,1,0,0,1,4,0,1
16206,57,109000,17316,453,71,1,3.72,36,0.58,2,0,0,0,0,1,1,0
99105,38,59243,217215,618,8,1,23.96,48,0.43,1,0,2,1,0,3,0,0
236858,33,35815,166586,351,65,4,14.96,48,0.87,1,3,0,0,0,0,0,0
128934,62,138569,248333,453,101,2,14.1,24,0.44,1,1,1,1,1,4,1,0
107485,35,90042,159330,659,53,3,4.28,24,0.76,2,2,0,1,0,4,1,0
89133,64,93741,232727,747,44,1,24.29,24,0.62,2,0,0,1,1,4,0,0
176325,41,114694,106334,319,45,2,14.42,60,0.18,3,0,2,1,0,3,1,0
4656,43,108283,84484,371,58,3,20.56,36,0.49,3,1,2,1,0,3,0,0
32175,42,30200,182868,517,119,3,16.87,24,0.51,0,1,2,1,1,0,1,0
93090,62,25274,134289,701,91,1,13.01,24,0.57,2,3,1,0,0,1,1,0
170616,58,55299,37681,361,54,1,24.1,36,0.3,0,1,2,0,1,0,1,0
70059,46,100459,174884,578,52,3,22.29,24,0.69,0,0,1,1,0,0,0,0
192737,32,74554,89606,656,117,2,15.78,12,0.16,0,2,0,1,1,1,0,0
238145,62,47383,13109,553,73,3,19.57,12,0.42,0,3,1,1,0,1,0,0
214780,18,148123,243038,734,105,4,10.29,60,0.71,1,2,0,1,0,3,0,0
242554,42,128414,79538,346,70,3,2.02,24,0.76,3,3,2,1,1,2,0,0
244437,24,40782,172030,585,74,4,2.51,24,0.64,0,1,1,1,0,3,1,1
84695,26,28436,208194,584,86,1,12.71,24,0.58,3,1,1,0,1,4,0,0
232238,41,145047,34875,811,58,2,21.59,36,0.83,2,0,0,1,1,2,0,0
166764,18,93993,132471,481,4,1,17.7,48,0.11,1,2,0,1,0,2,1,0
205280,61,137295,81022,447,10,1,8.14,12,0.24,0,3,2,0,1,2,1,0
129833,25,29782,223983,691,16,1,12.35,24,0.64,0,1,1,1,1,2,0,0
217195,41,39811,85372,607,70,1,4.02,24,0.22,2,2,2,1,0,1,0,0
145850,28,42063,50451,457,82,1,9.8,36,0.17,1,3,0,1,0,1,0,0
203358,68,21711,230251,616,7,1,22.46,12,0.82,0,1,0,1,0,3,0,0
27220,34,103746,229636,551,79,1,14.38,48,0.28,0,0,0,0,0,4,0,0
158157,25,66282,242287,564,47,3,4.76,24,0.6,1,2,0,0,1,4,1,0
176335,52,132499,84549,315,48,1,21.42,12,0.47,3,2,0,0,1,4,1,0
238841,52,132751,31372,436,85,1,23.5,36,0.15,3,3,1,1,1,2,1,0
120028,50,22773,174149,533,53,4,9.9,60,0.7,1,1,0,1,0,3,0,1
157176,22,75994,113223,737,47,3,14.46,12,0.86,1,0,2,1,0,3,1,0
216634,59,146423,175145,372,69,3,21.64,12,0.31,3,2,0,0,1,0,0,0
35401,56,106429,80930,394,63,3,11.51,36,0.31,3,2,2,0,1,1,0,0
120517,58,45015,103293,834,12,2,11.08,60,0.51,0,3,1,1,0,0,1,0
73651,45,57096,148064,339,6,3,21.04,48,0.35,2,3,1,1,1,2,1,0
58428,24,101452,155664,415,17,3,19.62,12,0.19,2,0,1,0,1,4,1,0
253569,26,58478,174639,668,28,3,13.11,60,0.88,1,3,2,0,1,3,0,0
174380,25,80893,141331,748,68,3,2.25,12,0.83,1,1,1,0,1,0,0,0
3851,29,141484,150284,715,12,3,23.05,12,0.86,3,3,0,0,1,3,1,0
148228,51,112897,216797,479,117,2,14.12,60,0.1,3,3,1,0,1,3,1,0
34573,50,146992,52331,696,100,4,22.58,60,0.79,1,0,0,1,0,3,0,0
88569,65,92816,235363,751,60,3,5.79,12,0.28,3,2,1,1,1,3,1,0
154749,40,60596,158698,842,16,2,10.21,12,0.51,3,1,2,1,1,2,0,0
141964,41,148629,111722,769,115,1,19.46,48,0.18,2,3,1,0,1,0,0,0
181699,54,74954,242196,635,59,4,9.05,36,0.4,0,3,2,1,1,2,1,0
209970,52,96409,144564,577,93,1,21.2,36,0.65,2,3,1,0,1,2,1,0
28347,61,134076,140885,602,6,2,22.89,60,0.84,2,3,0,0,1,4,1,0
107158,57,97979,146880,497,43,4,12.95,60,0.65,2,0,1,1,1,1,0,0
17023,39,91414,104927,811,114,3,3.35,24,0.33,1,0,0,1,0,2,1,0
11982,44,29635,164946,714,9,4,9.55,12,0.31,1,0,0,0,0,0,0,0
203262,52,78031,140988,578,100,2,2.69,48,0.2,2,1,2,0,1,3,0,0
10342,18,60357,130636,396,14,4,4.22,24,0.76,1,1,0,1,1,4,1,0
161144,52,107173,14655,513,86,3,9.56,36,0.36,1,0,1,0,0,3,0,0
63821,54,64517,92300,842,50,4,2.54,12,0.52,0,0,0,0,0,2,0,0
118082,64,74632,130550,343,13,2,11.95,24,0.86,1,1,2,0,1,2,0,0
49985,31,105016,75374,522,83,1,20.65,60,0.28,2,0,2,1,1,1,1,0
197902,20,16229,230359,335,104,1,22.98,24,0.1,1,0,2,1,1,1,1,0
110476,18,81192,41548,601,63,3,17.71,48,0.89,2,3,1,1,1,4,0,0
247454,22,108033,184054,499,11,1,16.77,60,0.28,0,2,1,1,0,0,0,0
21402,43,89715,189510,380,115,1,18.87,24,0.61,0,0,0,0,0,1,1,0
134409,31,142837,24067,375,68,2,11.85,60,0.14,2,0,2,0,0,0,0,0
186734,56,77101,91461,640,31,2,16.82,60,0.84,3,1,0,0,1,2,1,0
